1145430,Angular Styling & Animations (for Angular 2+),For Angular 2+: Learn how to use dynamic Styles and powerful Animations to create beautiful Angular Apps,Angular2,Css,Javascript,Html
691828,"Web Visualization with HTML5, Css3, and JavaScript ","Become an ace at creating stunning web designs and animations using HTML5, Css3, and JavaScript",Html5,Css3,Javascript,Animations,Design
1322636,Docker With Java Hands-On : From Basics -> To Deep Insights,Learn Docker from Scratch with Demos and Practical examples. From beginners To Expertise. For Devops and Developers,Devops,Docker
714724,Docker Crash Course for busy Devops and Developers,Learn how to develop and deploy web applications with Docker technologies. Take your Devops skills to the next level.,Docker,Devops,Deployment
1324000,"Zero to Unity Hero: Learn by Building My App, Block Physics",Start to finish development of an amazing real-world app using the incredible Unity Game Engine.,Unity,Game development,App development
1322294,Devops Tutorial: Complete Beginners Training - 5 in 1 Bundle,"Devops Engineer Devops Aws Devops Docker Devops Jenkins  DevopsGIT , Devops Vagran Devops Maven",Devops,Docker,Jenkins,Git,Maven,Aws
1324336,Ansible Automation For Beginners to Advance - Step by Step,"Mastering Ansible, Ansible Aws, Ansible tower, Automation, Network",Ansible,Aws,Ansible tower,Automation,Network
1459414,Beginner course to Learn to create your own CMS in PHPMySQL,Build your own CMS by playing with PHP MySQL codes starting from basics.Cover CRUD and user authentication too.,Php,Mysql,Crud,Cms,Authenication
1071340,OpenUI5 from the beginning to the complex app,Creating responsive web-application and converting it to the android apk file.,Android development,Web development,App development
1320864,Starting with REST API's,"Representational State Transfer (It is sometimes spelled ""ReST"")",Rest Api,Api ,Microservices
1124424,"WebDev: Cool Parts with HTML5, JavaScript ES6 & CryptoJS","Start using cool & exciting features that come from HTML5, JavaScript ES6 and CryptoJS",Html5,Javascript,Es6,Cryptojs
1148834,Docker & Docker Compose for Beginners,Learn how to use Docker with GitHub storage and Digital Ocean deployment,Github,Digital ocean,Cloud,Docker
1063522,The Swift 4 and Xcode 10 MasterClass,"Master the swift programming language, Xcode, and iOS Development",Xcode,Ios development,Swift
1321956,The Complete Android + Kotlin Developer Courseâ„¢,"Learn Android Kotlin Development to build amazing apps: an Online Quiz App, a Pokemon Go clone, an E-Commerce App...",Android development,Kotlin,App development,Deployment,Firebase
711086,Android development tutorial for Beginners,Android Course:Become an Android Developer & Make your own Apps,Android development,App development,Deployment,Firebase
1071250,Beginning C++ Game Programming - Part 1,Learn C++ from scratch and get started building your very own games,C++,Game development,Unity
1154322,The Essential Android O Developer Course (Java),Learn everything in detail on how to write apps in Android O using Java,Android development,App development,Java
1071460,WordPress Autoblog - Setup AutoBlogging Website in WordPress,"Autoblogging set your Website to AutoPilot, Website related Articles get Posted Automatically Without Any Manual Effort",Autopilot,Cms,Autoblogging,Cloud,Wordpress
1124434,Rapid Game development with Unity 5,Explore how to build market-ready games using the powerful engine of Unity,Unity,Game development,C++,C sharp
692244,The Philosophy of FileMaker - Part 1,"Intermediate FileMaker Pro 15 Scripting, Calculations, Relationships and Reporting",Filemaker,Scripting,Calculations,Relationships,Reporting
1322294,Devops Tutorial: Complete Beginners Training - 5 in 1 Bundle,"Devops Engineer Devops Aws Devops Docker Devops Jenkins  DevopsGIT , Devops Vagran Devops Maven",Devops,Aws,Docker,Jenkins,Git,Vagran,Maven
1071460,WordPress Autoblog - Setup AutoBlogging Website in WordPress,"Autoblogging set your Website to AutoPilot, Website related Articles get Posted Automatically Without Any Manual Effort",Autopilot,Cms,Autoblogging,Cloud,Wordpress
1124434,Rapid Game development with Unity 5,Explore how to build market-ready games using the powerful engine of Unity,Unity,Game development,C++,C sharp
1154322,The Essential Android O Developer Course (Java),Learn everything in detail on how to write apps in Android O using Java,Android development,App development,Java
1320864,Starting with REST API's,"Representational State Transfer (It is sometimes spelled ""ReST"")",Rest Api,Api ,Microservices
1148834,Docker & Docker Compose for Beginners,Learn how to use Docker with GitHub storage and Digital Ocean deployment,Github,Digital ocean,Cloud,Docker
1124424,"WebDev: Cool Parts with HTML5, JavaScript ES6 & CryptoJS","Start using cool & exciting features that come from HTML5, JavaScript ES6 and CryptoJS",Html5,Javascript,Es6,Cryptojs
1321956,The Complete Android + Kotlin Developer Courseâ„¢,"Learn Android Kotlin Development to build amazing apps: an Online Quiz App, a Pokemon Go clone, an E-Commerce App...",Android development,Kotlin,App development,Deployment,Firebase
1459414,Beginner course to Learn to create your own CMS in PHPMySQL,Build your own CMS by playing with PHP MySQL codes starting from basics.Cover CRUD and user authentication too.,Php,Mysql,Crud,Cms,Authenication
1324336,Ansible Automation For Beginners to Advance - Step by Step,"Mastering Ansible, Ansible Aws, Ansible tower, Automation, Network",Ansible,Aws,Ansible tower,Automation,Network
1071250,Beginning C++ Game Programming - Part 1,Learn C++ from scratch and get started building your very own games,C++,Game development,Unity
1321548,C in Depth: The Complete C Programming Guide for Beginners,C Programming For Beginners. Also Covers Advanced C Language Concepts with a Step by Step Practical Approach.,Advanced concepts,C,Embedded programming
2329914,Intro To SQLite Databases for Python Programming,Learn Sqlite Database With Python The Fast and Easy Way!,Sqlite,Python,Database
1254172,Responsive PHP Registration Form: From Scratch,"Complete guide to build a Responsive PHP Registration Form: From Scratch including HTML, Css and Booststrap",Php,Html,Css,Bootstrap,Web development
1060418,Unreal Engine:  Create an Arcade Classic!,"Like ""Fortnite?""  Master the tools used to build it as we re-create an arcade classic using Unreal Engine 4.",Unity,Game development,C++,C sharp
1458248,Divi Module development from start to finish,Make a living by developing modules for the worlds most popular premium WordPress theme,Wordpress,Blogging,Modules
1155016,Python Programming: An Expert Guide on Python,Learn Python while Building Projects,Python,Game development,Database,Django,Flask
1132588,Unity3D - A Basic and Intermediate Work-Along Course,Covering everything from the first time you open Unity to building games with complex interactions. We do it all,Unity,Game development,C++,C sharp,Advanced game development
1067692,Fundamental Data Structures & Algorithms using C language.,"Learn Data Structures and algorithms for Stack, Queue, Linked List, Binary Search Tree and Heap ( using C Programming ).",Data structures,C,Algorithms
1147238,PHP connections to MySQL,Learn how to connect a MySQL database to your PHP application.  Learn MySQLi connection code and Object oriented PHP,Mysql,Php,Mysqli,Object oriented programming
1458870,The Beginner's Guide to HTML,The course that teaches complete beginners to write high quality HTML,Css,Html,Bootstrap
1125778,Mastering Reactive Extensions with C sharp and .NET,A complete course on Rx.NET,.net,C sharp,Windows forms,visual studio
1322636,Docker With Java Hands-On : From Basics -> To Deep Insights,Learn Docker from Scratch with Demos and Practical examples. From beginners To Expertise. For Devops and Developers,Docker,Devops,Linux
1313410,How To Make A Wordpress Website -Elementor Page Builder,Learn How To Create an AMAZING Wordpress Website! Master Wordpress and Elementor Page Builder!,Wordpress,Elementor,Web development
627032,Learn Spring Boot - Rapid Spring Application Development,Spring Boot gives you all the power of the Spring Framework without all of the complexity. Start writing apps today!,Java,Spring boot,Spring,Enterprise java
1012096,Become A Full Stack Web Developer in 14 Days,"Learn all the skills that are needed by companies today, and land your next dream job.",Job,Skills,Technical skills,Interviews
1162274,"Intermediate Mobile App development (Swift 3, iPhone iOS10)",Gain the proficiency to start a career as an iOS developer with Swift 3 & Xcode 8 (learn 10 different iPhone API's),Ios development,Swift,Xcode,Api,Microservices
1248610,Practical Office 365 Administration,Learn in depth about Office 365 for Administrators and also find useful tips and resources to enhance your role as an Of,Office ,Office 365,Administrator
1257778,Make Your First Game - Crash Course 1 | Learn Unity Now!,"Make your first game in Unity by creating Xenfinity's retro style asteroid shooter, XenoShooter!",Unity,Game development,Shooting games,C sharp,C++
1200802,Linked List Data Structure using Python,Unlock your data structures potential by being able to create your own linked list in Python,Python,Data structures,Algorithms
1183326,Learning Path: R: Complete Machine Learning & Deep Learning,Unleash the true potential of R to unlock the hidden layers of data,R,Data science,Analytics,Data
1339456,Data Science Course 2021: Complete Machine Learning Training,"Build a Career in Artificial Intelligence (AI). Hands-on Training with ""7 Stages of Machine Learning"" Framework.",Ai,Machine learning,Deep learning,Algorithms
1212148,Learning Path: Aws: Aws Environments with Aws Lambda,Create resilient distributed solutions and serverless applications with Aws,Aws,Cloud,Deployment,App development
1222342,Learn Kotlin and build 2 basic android apps from scratch,Learn kotlin programming language from scratch and make 2 basic Android apps on kotlin.,Kotlin,Android development,App development
1340994,Starting with JavaScript Unit Testing,Discover JavaScript functions,Javascript,Object oriented programming,Functional programming,Frontend,Web development
842728,Getting Started with NodeJS for Beginners,Learn Basic of Powerful JavaScript Engine NodeJS with Core Libraries,Javascript,Nodejs,Core libraries,Object oriented programming
1242504,iOS 11 and Xcode 9 - Complete Swift 4 & Objective-C Course,A Complete iOS 11 and Xcode 9 Course with Swift 4 & Objective-C,Ios development,Swift,Objective c,Xcode
1309766,Create a Basic Real-Time Chat App with Angular4 and Firebase,Learn Angular4 and Firebase by creating a real-time chat app from scratch,Angular4,Firebase,Cloud,App development,Web development
851868,"Complete Wordpress Course, Learn Wordpress & Build Website",Learn Wordpress to quickly & easily build and maintain websites with step by step instructions. Websites in under 2hrs!,Wordpress,Web development,Blogging
1352468,Master Microservices with Spring Boot and Spring Cloud,"Go from Restful Web Services ( REST API ) to Microservices - Java , Spring Boot , Spring Cloud , Docker and Kubernetes",Rest Api,Api ,Microservices,Java,Spring boot,Cloud,Docker,Kubernetes
629218,Realtime apps with Swift & Firebase acquire impressive skill,"Build a chat app that works in real time using Firebase and Swift, be the best developer impress your boss and friends",App development,Swift,Ios development,Android development,Firebase
896010,Ready to work on TestLink in 100 mins - Test Management tool,Test Link Open Source Test Management tool,Open source,Testing,Management tool
1310106,Struts 2 Framework for Beginners,Learn how to build Java MVC applications using Struts 2 Framework.,MVC,Java,Struts,Web development
1334866,Complete Gaming Masterclass: Learn Unreal and GameMaker,*Includes FREE book! Build 30 VR games in Unity3D and 20 games in GameMaker. Tutorials for beginner game developers.,Unity,Game development,Vr,Gamemaker
1429976,Learn To Make Stylized Low Poly Characters [Beginner],Learn To Model Characters From Scratch (Beginner Friendly Course),Animation,Graphic designing,Models,Unreal,Gamemaker
1372276,HTML and Css for complete Beginners,Learn HTML 5 and Css3 from scratch and build interesting projects.easy step by step tutorials.,Html5,Css3,Web development
1418348,Learning Path: Spark: Data Science with Apache Spark,Explore the power of big data processing and machine learning with Apache Spark,Apache spark,Machine learning,Big data,Data processing,Analytics
1418386,Learning NodeJS for PHP Developers,Learn to build powerful applications with web technologies such as PHP and NodeJS.,Php,Nodejs,Web development,Database
1418466,Learning Path: Mastering Entity Framework Core,Explore & Master Entity Framework for developers with the latest features,Entity
1356624,Python Graphics Programming and Game development,Master Python Basics Using A Fun Visual Design Library,Python,Graphic designing,Game development
1394652,Create A Google Home Voice App In Under 30 Minutes,Crash course in building voice apps on Google Home,Automation,Google home,Python
1362816,React for absolute beginners,Learn React from scratch with hands-on projects,React,App development,Web development,Javascript
1362920,C sharp Masterclass: Make RPG & Mobile Games in UnityÂ® & Blender,Make a Zenda Role Player Game and Ninja Mobile Game in UnityÂ® 5.4.3f1. A beginner's course for aspiring game developers!,Unity,RPG,Game development,C++,C sharp,Blender
1378548,Learning Path: Java: Delve Deep into Concurrency with Java 9,Master the concurrency techniques with the new features of Java 9,Java,Object oriented programming,App development,Web development
1425988,Complete Modern Developer: React JS with Redux & SpriteKit,â€‹Ultimate coding for the web and game-making for iOS apps! Learn web and Game development with practical projects.,Ios development,Game development,Web development,App development,Swift,Xcode,Objective c
1426010,Build a Serverless App with Aws Lambda - Hands On!,"Create a chat web app using Amazon Web Services - Lambda, DynamoDB, API Gateway, S3, Cognito, CloudFront, and more.",Aws,Cloud,Web development,Lambda,App development
1389568,Introduction to Android Development for beginners,Create an Android App step by step from scratch,Android development,Kotlin,Java,Android studio,App development
1349938,Fashion Blogs - How to Start a WordPress Fashion Blog 2019,Fashion blogs are the latest craze on the internet today. Discover how to start a fashion blog of your own today.,Wordpress,Blogging,Web development
1420956,Deep Learning with TensorFlow 2.0 [2021],"Build Deep Learning Algorithms with TensorFlow 2.0, Dive into Neural Networks and Apply Your Skills in a Business Case",Ai,Machine learning,Tensorflow,Deep learning
1412930,"MATLAB onramp 2020: coding, concepts, confidence, and style","Learn the key MATLAB programming skills that separate experts from novices: debugging, functions, and visualization",Matlab,Functional programming
1415312,Quality Assurance (QA) Class,Quality Assurance on Web Applications,Web development,Testing
1010738,Essential Docker for Python Flask Development,Learn how to effectively use Docker and Docker Compose to develop production ready applications,Docker,Linux,Python,Flask
1231480,Deep Dive into Functional JavaScript,A practical guide to mastering functional programming in ES6 from the perspective of building real-world applications.,Functional programming,Java,App development,Spring boot
1011658,Java TTS and STT - text to speech and speech to text course,Working on projects regarding TTS and STT and also programming your multi-threaded mp3 player,Java,Machine learning,App development
1163894,Build a Chatbot integrated Website using Bootstrap 4,"Learn to build a conversation chatbot and integrate it into a responsive website built using HTML5,Css3 and Bootstrap 4",Html5,Css3,Bootstrap,Web development
849116,RSLogix/Studio5000 PLC Ladder Logic Training. Basic,The student will learn the difference programming a PLC using RSLogix/Studio5000 software and other  PLC packages.,PLC,RSLogix,Ladder Logic,Logic
1221276,Flask Devops: Release Scalable Applications with Heroku,Learn how to use Heroku to deploy your Flask applications,Heroku,Python,Flask,Web development,App development
1314898,IBM Cognos Report Studio,"Create complex reports, web applications, and dynamic dashboards",Data processing,Analytics,Ibm cognos,Data visualization
1164844,"Complete In & Out Of Ethereum Blockchain, Solidity & Truffle","For Developers - A very intense course on Ethereum Blockchain, Solidity & Truffle.This is not a Blockchain 101 course.",Blockchain,Bitcoin mining,Cryptocurrency,Ethereum,Solidity,Truffle
1193034,Build Your Own First Person Shooter / Survival Game in Unity,Part I: Create and Design Artificially Intelligent Game Characters with Advanced Animation Systems,Animation,Game development,Unity,RPG,Ai
1315108,Java Fx Concepts Bootcamp 2021,In 2021 Learn JavaFx with concepts and practical examples to create awesome graphics then take this course.,Java,Graphic designing,Animation,Java fx,App development
1142202,Master Angular 4 by Example - Build 7 Awesome Apps!,"Learn many advanced features in Angular 2+ by building 7 applications. Includes CRUD, Node.js, Routing and much more!",Angular,Crud,Nodejs,Web development
891610,MATLAB App Designing: The ultimate Guide for MATLAB Apps,MATLAB tutorial for making apps in MATLAB using the GUIDE and App Designer utilities (Codes Included),Matlab,App development,Designing
800110,Erlang Programming for Beginners,Understand what Erlang is and be able to write small Erlang programs,Erlang,Functional programming,Programming
1009476,Python For Maya: Artist Friendly Programming,Learn to code with Python to work faster in Maya,Python,Maya,Animation,Designing,Graphic designing
1294032,Learn to Build Snow Shaders with Substance Designer,Use Substance to create the shaders needed for a winter environment in Unreal 4,Unreal,Desigining,Graphic designing,Shader,Substance designer
1294036,Learn to Build Wood Shaders with Substance Designer,Learn how to create a procedural wood texture in substance designer,Procedural programming,Substance designer,Shader
1274744,Writing Clean Asynchronous Code In Node.js,"A Complete Guide To Avoiding CallbackHell And Writing Clean Code With Async.js, Async/Await, And Promises",Javascript,Asynchronous programming,Nodejs,App development,Web development
1351074,PLC & AC Drive with Automatic & Manual Industrial Control,"this course will take newbies to a higher level to deal with complex PLC projects, Motor Drives ( VFD ) & Manual Control",Plc,Ac drive,Automation,Logic,Vfd
1192660,Apache Spark Interview Questions Preparation Course,Learn everything about Apache Spark. Save time in Interview preparation.,Apache spark,Distributed programming
881810,Model and Texture a Stylized Dungeon for Games,Learn the skills to create amazing models and textures to build a stylized environment from start to finish!,Game development,Functional programming,RPG
1202200,Modern Python Solutions - Part 3,The latest in modern Python recipes for the busy programmer,Python,Automation,Programming
1465220,Dive Into SpriteKit - You Design the Game,All source code updated to Swift 5 - Design and code your own games by choosing exactly what should happen!,Spritekit,Swift,Game development
1515202,Wordpress Rest API and Ionic 4 (Angular) App With Auth,Create an application with Wordpress and Ionic 4 with Authentication,Wordpress,Rest api,Api,Angular,Authenication,Web development
1465708,Learning Entity Framework Core,Learning Entity Framework Core from scratch for building efficient and secure web applications,Entity ,Javascript,Web development
1515336,Complete Modern Amazon clone: Angular 5 and Node.js,"Use Angular 5 , Node.js , Stripe and Algolia to build a complete Amazon website!",Angular,Nodejs,Stripe,Angolia,Web development
1447174,Android Architecture Components - View Model,Learn how to use the new View Model from Android Architecture Components,Android development,Automation,Object oriented programming,Architecture
1447644,ASP.Net WEB API Online Test,ASP.Net WEB API Online Test,Asp.net,.net,Web development,Api,Microservices
1423234,Learn SQL with Microsoft SQL Server,Understanding Databases and SQL,Databases,Sql,Relational database,Sql server
1297194,Fundamentals of Java with NetBeans,Basic principles of the Java language by example,Java,Object oriented programming,Programming,Spring boot
1212898,The Css Flexbox Guide: Build 5 Real Flexible Layouts!,Learn Css Flexbox & Build 5 real world responsvie layouts using Css3 Flexbox!,Css,Web development,Html5
1194232,Learning Path: Akka: Building Applications and Microservices,Embrace yourself to learn the art of creating applications and microservices with Akka,Microservices,Api ,Akka,App development
1016110,Complete Gaming Package: Learn To Code In UnityÂ® And Unreal,Learn to code by building games in UnityÂ® and Unreal Engine. This is a fantastic course to start learning technology.,Unity,Unreal,Game development
1304076,A gentle introduction to Google Go (Golang) for Beginners,Break into programming with a gentle introduction to Google Go (Golang) for beginners!,Golang,Programming,Google go,Object oriented programming
1341962,Mastering Informatica PowerCenter 9,Master the advanced aspects of the Informatica client to create reusable transformations and mapplets,Powercenter 9,Informatica,Animation,Data visualization
1261404,How to Make an App Extremely Viral - Facebook App Invites,The Only and Best Course That Shows You How To Instantly Make Your App Viral With The Power Of Facebook App Invites,App development,Api ,Facebook,Api gateway,App development
1291908,Elasticsearch 5.x Solutions â€“ Node and Cluster Management,Get deep knowledge on the node and cluster management aspects of Elasticsearch,Elasticsearch,Node,Cluster management,App development
1423976,Learning path: React: Master Design Patterns with React,Ascend your application development skills by building scalable and modular apps using powerful design patterns of React,React,Functional programming,Designing,Modular,App development,Web development
1510752,HTML Css Bootstrap jQuery Website from Scratch to Production,Quickly Learn to code Responsive Websites using HTML Css BOOTSTRAP JQUERY from SCRATCH. It's easier than you think!,Html5,Css,Jquery,Bootstrap,Web development
1503370,Angular JS with Sample Project (from Basic to Advanced),Learn Angular JS - Every module feature demonstrated with real-time examples,Angular,Javascript,Web development
1507192,Unity Game Mechanics Mastery and Blender 3D Modeling,"+FREE gift! Learn game design, game physics, 3D animation, character art, C sharp, pixel art, Photoshop and MagicaVoxel!",Game development,Unity,Animation,Photoshop,C sharp,Graphic Designing,MagicaVoxel
1499794,Serverless JavaScript by Example,Become dexterous with live demonstrations on serverless web development,Web development,Java,Javascript
1499866,Learning Path: Kotlin: Android Development with Kotlin,Master the Kotlin language for the Android platform by building exciting applications,Android development,Kotlin,Android studio,App development
1561968,Unity & AR: Make a Unity Game & an AR App for iOS,"A hands-on guide to learning C sharp, augmented reality, Swift & Xcode! You also get a 700-page book & 6 bonus tech webinars",Swift,Xcode,App development,Ios development,C sharp,Ar
1562008,Master Tkinter By Building 5 Fully Functioning Apps,This course isâ€‹ all â€‹you need to became a master Tkinterâ€‹ developer.,App development,Tkinter,Python,Programming
1521294,Visual Basic For Applications (VBA) - Excel,Being the best of the best of the best at Spreadsheet Programming and Analysis,Vba,Excel,Spreadsheet,Data visualization,Analytics
1511748,Parsing TCP Socket Data with C/C++,The correct TCP data handling solution using C++,C++,Networking,Socket
1532752,Core Data and Realm - Master Data Persistence for iOS,"Learn to use Core Data, Realm, UserDefaults, NSCoder, iOS File System.",Ios development,Realm,Nscoder,Swift,Xcode
1529928,SciKit-Learn in Python for Machine Learning Engineers,The Fourth Course in a Series for Mastering Python for Machine Learning Engineers,Python,Machine learning,Scikit
1584662,Build a Crypto Currency Portfolio App With Ruby on Rails,How To Use An API To Get Crypto Currency Data With Ruby On Rails,Cryptocurrency,Ruby,Data mining,Api
1577662,Game Dev Crash Course (Clickteam Fusion 2.5),Let's dive in the deep end and get game developing!,Game development,Unity,Unreal
1592514,LEARNING PATH: Laravel: Complete Guide to Laravel,Grasp the power of Laravel to build modern applications,Web development,Lavarel,Web development
1531258,Test your C Skills:The Complete C Programming Interview Pack,How I cracked interview of 16 software companies,C,Programming,Procedural Programming
1570972,Continuous Deployments using Spinnaker on Aws and Kubernetes,Use Spinnaker to execute your Devops strategy. Use immutable infrastructure to deploy using Spinnak on Aws or Kubernetes,Aws,Spinnak,Kubernetes,Cloud
1600384,Machine Learning & Training Neural Network in MATLAB,Machine Learning | Learn concepts of Machine Learning and how to train a Neural Network in MATLAB on Iris data-set.,Machine learning,Python,Matlab,Neural network
1609880,How to build Law Firm Website with Wordpress & Elementor 2.0,"Learn how to create a Law Firm Website with WordPress using Elementor 2.0 + Astra Theme, no coding needed.â€‹",Wordpress,Elementor,Blogging,Web development
1558098,iOS 12 & Swift 5: Build a To-Do List App,"Put your Swift skills to action by building Taskly, a practical todo list app",Taskly,Automation,Management tool
1594118,digital illustration from scifi to fantasy with Camille Kuo,start from grayscale or true color illustration with visual effect and light&color tweak to finalize the illustration,Animation,Graphic designing,Illustration
1193330,Hacking with watchOS 5 - Build Amazing Apple Watch Apps,The Hacking with watchOS tutorial series is designed to make it easy for beginners to get started coding for watchOS 5,Ios development,Watchos,Xcode
1334218,The Extensive WebGL Series ! - Part1 : Low Level Graphics,The Mathematical And Practical Foundations Of 3D Computer Graphics Using Opengl's WebGL,Graphic development,Opengl,webgl,Designing
1233648,Progressive Web Apps: The Concise PWA Masterclass,"Everything you need to build Progressive Web Apps from Scratch, or upgrade your existing Web Apps to PWAs.",Web development,Web apps,Pwa,App development
1260414,SGLearn@Python A-Zâ„¢: Python For Data Science,"Programming In Python For Data Analytics And Data Science. Learn Statistical Analysis, Data Mining And Visualization",Data mining,Data visualization,Analytics,Data science,Python
895712,"Serenity Bdd -  Selenium WebDriver, Cucumber, Jira, Jenkins","Learn How to Build and Enhance A Robust Functional Test Automation  framework in BDD using Serenity,Selenium & Cucumber",Automation,Selenium,Cucumber,Testing
629142,Complete Web Developer Course HTML Css JavaScript PHP jQuery,"Complete web developer Guide to websites working with HTML, Css, JavaScript, PHP, Bootstrap, JQuery, MySQL and more",Html5,Css,Javascript,Bootstrap,Php,Jquery,Mysql,Web development
1223370,Kotlin Android Development Masterclass,"Learn Kotlin, Android Development, Android Studio & IntelliJ IDEA from Scratch. Build Android Apps in Kotlin.",Android development,Kotlin,Android studio,Intellij,App development
